"id","response.chinaCurrency","response.trumpBudget","response.berinskyACA","response.nyhanReifler","response.hksVitaminC","response.hksBioWeapon","response.hksHandWash","response.hksUSCreated","response.demNormsAccept","response.demNormsViol","response.forBornUS","response.forBornCanada","Q47","Q48","Q49","response.olivIraq","response.oliv911","response.olivObama","response.olivContrails","response.olivSoros","Q53.2","lucid_rid","lucid_age","lucid_gender","lucid_hhi","lucid_race","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","lucid_dma","lucid_state","isRandomized","berinskyACA","nyhanReifler","hksVitaminC","hksBioWeapon","hksHandWash","hksUSCreated","chinaCurrency","trumpBudget","olivIraq","oliv911","olivObama","olivContrails","olivSoros","demNormsAccept","demNormsViol","forBornUS","forBornCanada","shirker.allcGent","shirker.oliv","allcGentz.Beyonce.rally","allcGentz.Clinton.arms","allcGentz.Clinton.deplorables","allcGentz.Clinton.stumbled","allcGentz.FBI.Clinton.charges","allcGentz.FBI.agent","allcGentz.FBI.director","allcGentz.Ireland.asylum","allcGentz.Pence.vulgar","allcGentz.Pope.endorse","allcGentz.RuPaul","allcGentz.Trump.concede","response.allcGentz.Beyonce.rally","response.allcGentz.Clinton.arms","response.allcGentz.Clinton.deplorables","response.allcGentz.Clinton.stumbled","response.allcGentz.FBI.Clinton.charges","response.allcGentz.FBI.agent","response.allcGentz.FBI.director","response.allcGentz.Ireland.asylum","response.allcGentz.Pence.vulgar","response.allcGentz.Pope.endorse","response.allcGentz.RuPaul","response.allcGentz.Trump.concede","recode.chinaCurrency","recode.trumpBudget","recode.berinskyACA","recode.nyhanReifler","recode.hksVitaminC","recode.hksBioWeapon","recode.hksHandWash","recode.hksUSCreated","recode.demNormsAccept","recode.demNormsViol","recode.forBornUS","recode.forBornCanada","recode.olivIraq","recode.oliv911","recode.olivObama","recode.olivContrails","recode.olivSoros","recode.allcGentz.Beyonce.rally","recode.allcGentz.Clinton.arms","recode.allcGentz.Clinton.deplorables","recode.allcGentz.Clinton.stumbled","recode.allcGentz.FBI.Clinton.charges","recode.allcGentz.FBI.agent","recode.allcGentz.FBI.director","recode.allcGentz.Ireland.asylum","recode.allcGentz.Pence.vulgar","recode.allcGentz.Pope.endorse","recode.allcGentz.RuPaul","recode.allcGentz.Trump.concede","education","age","vconservative","party","vliberal","numeracy","wgt"
455,50,50,"Not sure","Neither agree nor disagree","Probably false","Probably false","Probably true","Definitely false","Somewhat disagree","Somewhat agree",38.6,14.5,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Vote for the Republican Donald Trump","5fe0f708-63af-81ba-02ed-69d438d06be5","47","1","14","1","1","2","2","2","53022","617","50","1","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",TRUE,FALSE,"Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",50,50,"Not sure","Neither agree nor disagree","Probably false","Probably false","Probably false","Definitely false","Somewhat agree","Somewhat disagree",38.6,14.5,"Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",2,47,0,"Republican",0,0,1.2134406814044
456,33.9,81.6,"True","Agree","Definitely false","Probably true","Probably true","Not sure","Strongly disagree","Strongly agree",37.7,14.7,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Wastewater from the airplane lavatory","Disagree","Disagree","Disagree","Disagree","Disagree","Vote for the Republican Donald Trump","5fe0f511-7cfa-56e1-58ca-c991035003cd","70","1","13","1","1","1","3","4","80236","751","6","1","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,TRUE,"Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Yes, true","Yes, true","No, false","Yes, true","Yes, true","Not sure","Yes, true","No, false","No, false","No, false","No, false","Yes, true",33.9,18.4,"False","Disagree","Definitely false","Probably true","Probably true","Not sure","Strongly disagree","Strongly agree",37.7,14.7,"Disagree","Agree","Agree","Agree","Agree","Yes, true","Yes, true","Yes, true","Yes, true","No, false","Not sure","Yes, true","Yes, true","No, false","No, false","Yes, true","Yes, true",1,70,0,"Independent",0,1,1.34733039815278
457,50.1,51.2,"Not sure","Neither agree nor disagree","Not sure","Not sure","Probably false","Not sure","Slightly disagree","Somewhat agree",34.8,30.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Not vote in the presidential election","5fe0f6de-e202-c277-51a5-c4cc974d8f3a","21","2","14","15","1","2","3","3","75224","623","44","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",50.1,48.8,"Not sure","Neither agree nor disagree","Not sure","Not sure","Probably false","Not sure","Slightly disagree","Somewhat disagree",34.8,30.2,"Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",2,21,0,"Independent",0,0,0.839738182129671
458,99.9,50,"False","Strongly disagree","Definitely false","Probably true","Definitely false","Definitely false","Strongly agree","Strongly disagree",85.1,90.2,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe0f827-e8f1-575e-bbd5-4c94a8d6781e","35","1","12","1","1","4","1","2","53405","617","50","1","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Yes, true","Not sure","Yes, true","Not sure","Yes, true","Yes, true","Yes, true","Not sure","Not sure","Not sure","Yes, true","Yes, true",0.0999999999999943,50,"True","Strongly agree","Definitely false","Probably true","Definitely false","Definitely false","Strongly disagree","Strongly disagree",14.9,9.8,"Disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Yes, true","Not sure","No, false","Not sure","No, false","Yes, true","Yes, true","Not sure","Not sure","Not sure","Yes, true","Yes, true",4,35,0,"Democrat",0,0,0.62639918553709
459,82.8,99.9,"True","Neither agree nor disagree","Definitely true","Probably false","Definitely true","Probably false","Somewhat disagree","Strongly disagree",85.4,91.7,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Not vote in the presidential election","5fe0f790-922d-0699-250c-896240f7df3d","22","2","6","1","1","6","2","1","04345","500","20","1","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",TRUE,FALSE,"Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",82.8,99.9,"True","Neither agree nor disagree","Definitely false","Probably true","Definitely false","Probably true","Somewhat agree","Strongly disagree",14.6,8.3,"Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",6,22,0,"Republican",1,1,1.16040534134317
460,73.3,99.9,"Not sure","Neither agree nor disagree","Definitely false","Probably false","Probably true","Not sure","Strongly agree","Strongly agree",60.7,68.4,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Chemicals distributed by government agents","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe0f6e6-7f23-6f8f-1132-7eeaec4041fd","50","1","8","15","1","6","3","1","10467","501","33","1","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Not sure","No, false","No, false","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","No, false","No, false",26.7,99.9,"Not sure","Neither agree nor disagree","Definitely false","Probably false","Probably false","Not sure","Strongly agree","Strongly disagree",39.3,31.6,"Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Not sure","No, false","Yes, true","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Yes, true","Yes, true",6,50,0,"Independent",0,0,0.601759769516126
461,50.4,73.2,"Not sure","Agree","Definitely true","Probably true","Definitely false","Probably true","Strongly agree","Strongly agree",20.4,73.8,"","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe0f53a-4a50-33a6-3bee-266f9a2c0463","38","2","9","1","1","2","1","3","29527","570","41","1","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,TRUE,"Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Not sure","Not sure","Not sure","No, false","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Yes, true",50.4,26.8,"Not sure","Agree","Definitely false","Probably false","Definitely false","Probably false","Strongly agree","Strongly disagree",20.4,73.8,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","No, false","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Yes, true",2,38,0,"Democrat",1,0,0.459634341107367
462,50,47.1,"Not sure","Neither agree nor disagree","Definitely true","Definitely false","Definitely true","Definitely true","Strongly disagree","Strongly disagree",95,92,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe0f73b-73f9-e37f-6622-5889fb8e1afe","67","2","4","1","1","2","1","3","33543","539","10","1","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Yes, true","Not sure","Not sure","Yes, true","Not sure","Yes, true",50,52.9,"Not sure","Neither agree nor disagree","Definitely false","Definitely false","Definitely false","Definitely false","Strongly agree","Strongly agree",5,8,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Not sure","Not sure","No, false","Not sure","Not sure","Not sure","Yes, true","Not sure","Not sure","No, false","Not sure","Yes, true",2,67,0,"Democrat",0,0,0.515136934744757
463,66.5,85.5,"False","Strongly agree","Definitely true","Definitely false","Definitely true","Probably true","Strongly agree","Strongly agree",24.8,15.8,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Disagree","Strongly agree","Strongly disagree","Disagree","Vote for the Democrat Joe Biden","5fe0f7b4-64eb-8f59-902a-fc2c4565987a","66","1","4","1","1","5","1","3","21045","512","21","1","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Not sure","No, false","Yes, true","Yes, true","Yes, true","No, false","Yes, true","Yes, true","Not sure","No, false","Not sure","Yes, true",66.5,14.5,"False","Strongly disagree","Definitely false","Definitely false","Definitely false","Probably false","Strongly agree","Strongly disagree",24.8,15.8,"Agree","Disagree","Strongly disagree","Strongly disagree","Disagree","Not sure","No, false","Yes, true","No, false","No, false","No, false","Yes, true","Yes, true","Not sure","No, false","Not sure","Yes, true",5,66,0,"Democrat",0,2,0.643505067882763
464,50.6,61.7,"Not sure","Disagree","Probably false","Probably false","Probably false","Probably true","Slightly agree","Somewhat disagree",29.5,30.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Not vote in the presidential election","5fe0f6fb-543d-9c8f-3ee1-14891ac4a570","24","2","1","1","1","2","1","2","54235","658","50","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","","","","","","","","","Not sure","","","",50.6,38.3,"Not sure","Agree","Probably false","Probably true","Probably false","Probably true","Slightly disagree","Somewhat disagree",29.5,30.2,"Neither agree nor disagree","Neither agree nor disagree","Disagree","","","","","","","","","","","Not sure","","","",2,24,0,"Democrat",0,0,1.20026149111351
465,50,50.1,"Not sure","Neither agree nor disagree","Definitely false","Not sure","Definitely false","Definitely false","Strongly agree","Somewhat agree",85.1,91.8,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe0f68f-a6d3-eca1-9a5b-b45923f34b6a","67","2","2","1","1","2","1","2","64037","616","26","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","","","","","","","","","","","Not sure","",50,50.1,"Not sure","Neither agree nor disagree","Definitely false","Not sure","Definitely false","Definitely false","Strongly agree","Somewhat disagree",14.9,8.2,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","","","","","","","","","","","Not sure","",2,67,0,"Democrat",1,0,0.561994574124504
466,50,50,"False","Disagree","Definitely false","Definitely false","Definitely false","Definitely true","Strongly disagree","Strongly disagree",76,88.3,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Vote for a different candidate","5fe0f782-e12e-da0e-a54a-fedfb979561b","39","2","4","1","1","6","3","3","75240","623","44","1","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Not sure","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",50,50,"False","Disagree","Definitely false","Definitely false","Definitely false","Definitely false","Strongly agree","Strongly disagree",24,11.7,"Agree","Agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Not sure","Not sure","Not sure","Yes, true","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure",6,39,0,"Other",1,0,0.258535159824144
467,49.9,49.9,"Not sure","Neither agree nor disagree","Definitely false","Definitely false","Probably true","Probably false","Strongly disagree","Slightly disagree",57.4,55.3,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","","","","","Not vote in the presidential election","5fe0f714-edd9-8aa1-b82b-3b5068d56522","55","2","2","1","1","2","3","1","19021","504","39","1","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Not sure","Not sure","Not sure","Not sure","Yes, true","No, false","Yes, true","","Not sure","Yes, true","Not sure","Yes, true",49.9,50.1,"Not sure","Neither agree nor disagree","Definitely true","Definitely false","Probably false","Probably false","Strongly agree","Slightly disagree",42.6,44.7,"Neither agree nor disagree","","","","","Not sure","Not sure","Not sure","Not sure","No, false","Yes, true","Yes, true","","Not sure","Yes, true","Not sure","No, false",2,55,0,"Independent",0,0,1.59121992153205
468,50,99.9,"False","Agree","Probably false","Definitely true","Definitely false","Definitely false","Strongly agree","Slightly disagree",80,90.4,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Vote for the Democrat Joe Biden","5fe0f828-b2dd-9ceb-0b79-8bf8d4dfd2ca","24","1","13","1","1","6","3","3","41011","515","18","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Yes, true","No, false","Yes, true","Yes, true","No, false","No, false","No, false","Not sure","No, false","Yes, true","No, false","Yes, true",50,99.9,"False","Disagree","Probably false","Definitely false","Definitely false","Definitely false","Strongly agree","Slightly disagree",20,9.59999999999999,"Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Yes, true","No, false","Yes, true","Yes, true","No, false","No, false","Yes, true","Not sure","Yes, true","No, false","Yes, true","Yes, true",6,24,0,"Independent",0,1,0.538702378978846
469,31.7,25.8,"True","Disagree","Probably true","Definitely true","Definitely true","Definitely false","Strongly disagree","Strongly disagree",42.5,21,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Disagree","Disagree","Neither agree nor disagree","","","Vote for the Republican Donald Trump","5fe0f702-fbfd-8d95-f56e-2b99bbdac878","41","1","24","15","1","6","4","1","11436","501","33","1","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","","","","","","","Yes, true","","","","","",68.3,25.8,"False","Disagree","Probably false","Definitely true","Definitely true","Definitely false","Strongly disagree","Strongly disagree",57.5,79,"Agree","Disagree","Neither agree nor disagree","","","","","","","","","Yes, true","","","","","",6,41,1,"Republican",0,0,0.687811133432514
470,19.2,9.3,"False","Neither agree nor disagree","Probably false","Probably true","Probably true","Definitely true","Slightly agree","Slightly disagree",85,95.6,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","Abroad","Water vapor from the jet exhaust mixing with cold air outside the plane","Disagree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Vote for the Republican Donald Trump","5fe0f729-4569-58eb-e22a-d6dd4abde1e2","20","2","3","1","1","5","2","1","12197","526","33","1","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Yes, true","Not sure","Yes, true","Not sure","No, false","Not sure","No, false","Yes, true","No, false","Yes, true","Not sure","Yes, true",80.8,90.7,"True","Neither agree nor disagree","Probably true","Probably false","Probably false","Definitely true","Slightly disagree","Slightly disagree",15,4.40000000000001,"Disagree","Neither agree nor disagree","Strongly agree","Disagree","Neither agree nor disagree","No, false","Not sure","Yes, true","Not sure","Yes, true","Not sure","Yes, true","No, false","Yes, true","Yes, true","Not sure","Yes, true",5,20,0,"Independent",0,0,0.676814415645079
471,55.1,75,"Not sure","Agree","Probably false","Probably false","Probably true","Definitely true","Somewhat agree","Strongly agree",9.6,3.7,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Not vote in the presidential election","5fe0f80b-264a-81b2-ee60-7681ddf11c1b","35","2","11","1","1","2","2","2","54449","705","50","1","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Not sure","Yes, true","Not sure","Not sure","Yes, true","Not sure","Not sure","No, false","No, false","Not sure","No, false","Not sure",44.9,75,"Not sure","Agree","Probably false","Probably false","Probably true","Definitely false","Somewhat agree","Strongly disagree",9.6,3.7,"Disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Not sure","No, false","Not sure","Not sure","Yes, true","Not sure","Not sure","No, false","Yes, true","Not sure","Yes, true","Not sure",2,35,0,"Republican",0,0,1.27928919042512
472,76.3,87.9,"True","Neither agree nor disagree","Probably false","Probably false","Definitely true","Probably true","Strongly agree","Strongly disagree",76.8,65,"Established “death panels” which have the authority to determine whether or not a gravely ill or injured person should receive health care based on their “level of productivity in society.”","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Vote for the Democrat Joe Biden","5fe0f6b9-671c-3772-af60-dbc2a76a3ea1","28","1","9","2","1","2","1","4","94544","807","5","1","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Yes, true","Not sure","Yes, true","No, false","Not sure","No, false","Yes, true","Yes, true","No, false","Not sure","Not sure","No, false",76.3,87.9,"False","Neither agree nor disagree","Probably true","Probably false","Definitely false","Probably false","Strongly agree","Strongly disagree",23.2,35,"Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Yes, true","Not sure","Yes, true","Yes, true","Not sure","Yes, true","Yes, true","Yes, true","Yes, true","Not sure","Not sure","No, false",2,28,0,"Democrat",0,0,1.07681396921327
473,53.5,88.3,"True","Disagree","Definitely false","Definitely false","Probably true","Probably true","Strongly agree","Strongly agree",27.1,21.3,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Disagree","Strongly disagree","Disagree","Disagree","Vote for the Democrat Joe Biden","5fe0f6c1-f66a-a8fc-d420-fd7d553d4fa8","34","1","1","1","1","2","1","1","04614","537","20","1","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","","","","","","","","No, false","","","","",46.5,11.7,"False","Disagree","Definitely false","Definitely false","Probably true","Probably true","Strongly disagree","Strongly disagree",27.1,21.3,"Agree","Disagree","Strongly disagree","Disagree","Disagree","","","","","","","","No, false","","","","",2,34,0,"Democrat",1,1,0.617714819145265
